# Sensor type: Respeck
# Activity type: Desk work
# Activity code: 31
# Subject id: s1234567
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1631881951348,0.051513672,-0.9976196,0.07562256,2.90625,-0.59375,0.203125
1631881951378,0.063964844,-0.9998169,0.038269043,0.1875,-0.171875,-0.140625
1631881951407,0.061523438,-0.99420166,0.0848999,-1.953125,-0.40625,0.09375
1631881951449,0.02368164,-0.98394775,0.08905029,-0.6875,-3.625,1.140625
1631881951479,0.018554688,-0.97662354,0.053894043,-0.484375,-2.3125,1.234375
1631881951525,0.017089844,-0.98931885,0.06097412,-0.390625,-0.078125,0.359375
1631881951590,0.03955078,-0.99542236,0.0770874,2.03125,1.640625,0.015625
1631881951600,0.06518555,-0.9885864,0.06048584,0.984375,0.21875,-0.53125
1631881951648,0.07006836,-1.0003052,0.06341553,-0.546875,0.578125,-0.421875
1631881951689,0.048095703,-0.9915161,0.085632324,-1.0,-1.703125,0.734375
1631881951719,0.026123047,-0.98516846,0.0758667,-0.890625,-3.828125,1.265625
1631881951769,0.023925781,-0.9939575,0.06781006,-0.421875,-1.953125,1.0
1631881951810,0.038085938,-0.99957275,0.08319092,1.21875,0.078125,0.265625
1631881951857,0.036132812,-0.9951782,0.06878662,2.5,-0.65625,-0.09375
1631881951885,0.059814453,-0.9800415,0.061462402,0.28125,0.484375,-0.828125
1631881951930,0.049072266,-1.0007935,0.086120605,-0.40625,1.4375,-0.5
1631881951962,0.02709961,-0.9956665,0.08319092,0.1875,-1.3125,0.5625
1631881952007,0.030029297,-0.98883057,0.042907715,-0.375,-1.84375,0.796875
1631881952037,0.061279297,-0.9949341,0.066589355,-0.046875,0.96875,0.0
1631881952079,0.04321289,-0.9834595,0.0848999,1.46875,-0.484375,-0.09375
1631881952124,0.03881836,-0.9854126,0.059265137,2.578125,-2.734375,0.28125
1631881952154,0.06591797,-1.0005493,0.046813965,-0.203125,-2.453125,0.046875
1631881952199,0.049804688,-1.0105591,0.09320068,-1.265625,-2.3125,-0.109375
1631881952248,-0.0048828125,-0.99053955,0.06463623,0.015625,-3.859375,1.15625
1631881952274,0.012451172,-0.97076416,0.05340576,0.40625,0.046875,0.90625
1631881952319,0.018554688,-0.9849243,0.08807373,0.609375,2.046875,0.703125
1631881952381,0.04248047,-1.0061646,0.0770874,3.125,0.21875,0.625
1631881952400,0.05517578,-1.005188,0.038757324,1.90625,-0.53125,-0.046875
1631881952439,0.07885742,-0.9990845,0.04876709,-0.78125,-0.640625,-0.6875
1631881952470,0.057373047,-0.99468994,0.08050537,-2.375,-2.78125,-0.21875
1631881952517,0.032470703,-0.9883423,0.06414795,-0.515625,-5.890625,0.890625
1631881952577,0.019042969,-0.97857666,0.05316162,0.71875,-4.28125,1.15625
1631881952591,0.0234375,-0.9829712,0.059753418,0.6875,-2.890625,0.625
1631881952637,0.028564453,-0.9981079,0.05999756,2.71875,-1.453125,0.21875
1631881952679,0.031982422,-0.9944458,0.03729248,1.0625,0.25,0.078125
1631881952711,0.04345703,-0.9981079,0.055603027,0.984375,0.75,0.015625
1631881952760,0.05859375,-0.98883057,0.051940918,0.671875,-0.8125,0.265625
1631881952800,0.063964844,-0.9915161,0.04876709,1.546875,-2.109375,0.4375
1631881952830,0.060058594,-0.98516846,0.053649902,1.328125,-2.75,0.65625
1631881952875,0.046875,-0.99005127,0.04437256,1.390625,-3.4375,0.59375
1631881952919,0.033691406,-1.0054321,0.04852295,1.28125,-3.34375,0.296875
1631881952949,0.04345703,-0.9956665,0.036071777,1.296875,-1.609375,-0.015625
1631881952995,0.036132812,-0.9834595,0.04827881,0.734375,-0.078125,-0.265625
1631881953027,0.038085938,-0.9819946,0.054870605,1.125,-0.1875,0.140625
1631881953085,0.044921875,-0.9963989,0.050231934,1.15625,-1.09375,0.625
1631881953122,0.046142578,-0.9932251,0.04876709,1.25,-2.015625,0.578125
1631881953153,0.045898438,-0.9898071,0.04095459,0.96875,-3.03125,0.359375
1631881953190,0.045410156,-0.989563,0.043151855,0.5,-2.828125,0.171875
1631881953249,0.028564453,-0.9890747,0.04534912,0.515625,-2.734375,0.0
1631881953268,0.017089844,-0.98565674,0.04144287,1.15625,-2.28125,0.234375
1631881953311,0.024414062,-0.99713135,0.031921387,0.71875,-0.6875,0.390625
1631881953354,0.020507812,-0.99102783,0.03729248,0.390625,1.53125,0.03125
1631881953384,0.03173828,-0.9963989,0.02923584,0.875,2.46875,-0.015625
1631881953429,0.042236328,-0.9834595,0.022155762,-0.484375,3.203125,-0.078125
1631881953476,0.044921875,-0.9927368,0.039245605,0.078125,3.265625,-0.015625
1631881953507,0.049072266,-0.98760986,0.04095459,-0.203125,1.6875,0.328125
1631881953549,0.05078125,-0.99420166,0.042907715,0.734375,-0.03125,0.421875
1631881953595,0.05493164,-0.9981079,0.035339355,0.3125,-1.40625,0.46875
1631881953627,0.05078125,-0.99591064,0.02508545,0.3125,-2.046875,0.015625
1631881953669,0.0390625,-0.99957275,0.024597168,-0.921875,-2.09375,-0.015625
1631881953699,0.053955078,-0.9973755,0.04071045,-0.6875,-2.96875,-0.25
1631881953747,0.04321289,-0.98883057,0.039001465,-0.390625,-3.453125,0.375
1631881953806,0.022705078,-0.9812622,0.042663574,-0.828125,-2.953125,0.703125
1631881953819,0.021728516,-0.99664307,0.029724121,-0.609375,-2.453125,1.015625
1631881953866,0.032470703,-1.0078735,0.032165527,-0.78125,-0.5625,0.375
1631881953910,0.041992188,-0.99591064,0.039245605,0.453125,0.1875,-0.5625
1631881953939,0.057128906,-0.9937134,0.030456543,-0.890625,-0.34375,-1.046875
1631881953984,0.06689453,-0.9968872,0.05706787,-1.140625,-1.578125,-0.3125
1631881954014,0.03857422,-0.98565674,0.058044434,-1.046875,-4.515625,0.75
1631881954080,0.020996094,-0.97735596,0.038757324,-1.828125,-3.984375,0.859375
1631881954107,0.017578125,-0.99835205,0.04925537,-1.3125,-1.140625,0.328125
1631881954136,0.020996094,-1.0081177,0.046325684,0.828125,-1.03125,0.03125
1631881954179,0.03173828,-0.9902954,0.03289795,-0.4375,1.0625,-0.34375
1631881954228,0.043701172,-0.9920044,0.047058105,-0.640625,1.84375,-0.53125
